Day;Hours;Price(DKK/Mwh)
26-01-2016;08 - 09;144.52
26-01-2016;09 - 10;144.44
26-01-2016;10 - 11;144.52
26-01-2016;11 - 12;144.07
26-01-2016;12 - 13;142.88
26-01-2016;13 - 14;142.58
26-01-2016;14 - 15;142.65
26-01-2016;15 - 16;143.03
26-01-2016;16 - 17;145.12
26-01-2016;17 - 18;146.76
26-01-2016;18 - 19;144.37
26-01-2016;19 - 20;139.97
26-01-2016;20 - 21;137.66
26-01-2016;21 - 22;135.64
26-01-2016;22 - 23;130.19
26-01-2016;23 - 00;119.82
27-01-2016;00 - 01;109.82
27-01-2016;01 - 02;23.72
27-01-2016;02 - 03;0.37
27-01-2016;03 - 04;0.97
27-01-2016;04 - 05;65.8
27-01-2016;05 - 06;113.7
27-01-2016;06 - 07;125.26
27-01-2016;07 - 08;142.64
27-01-2016;08 - 09;133.99
27-01-2016;09 - 10;133.17
27-01-2016;10 - 11;133.47
27-01-2016;11 - 12;132.13
27-01-2016;12 - 13;131.23
27-01-2016;13 - 14;131.75
27-01-2016;14 - 15;131.75
27-01-2016;15 - 16;131.45
27-01-2016;16 - 17;133.02
27-01-2016;17 - 18;135.04
27-01-2016;18 - 19;133.47
27-01-2016;19 - 20;131.23
27-01-2016;20 - 21;128.99
27-01-2016;21 - 22;127.72
27-01-2016;22 - 23;121.9
27-01-2016;23 - 00;112.43
28-01-2016;00 - 01;108.2
28-01-2016;01 - 02;95.74
28-01-2016;02 - 03;96.11
28-01-2016;03 - 04;90.59
28-01-2016;04 - 05;107.01
28-01-2016;05 - 06;121.26
28-01-2016;06 - 07;128.05
28-01-2016;07 - 08;131.11
28-01-2016;08 - 09;133.5
28-01-2016;09 - 10;132.82
28-01-2016;10 - 11;132.67
28-01-2016;11 - 12;131.78
28-01-2016;12 - 13;130.96
28-01-2016;13 - 14;131.11
28-01-2016;14 - 15;130.73
28-01-2016;15 - 16;131.26
28-01-2016;16 - 17;132.45
28-01-2016;17 - 18;135.66
28-01-2016;18 - 19;133.27
28-01-2016;19 - 20;130.88
28-01-2016;20 - 21;128.42
28-01-2016;21 - 22;127.38
28-01-2016;22 - 23;123.12
28-01-2016;23 - 00;119.54
29-01-2016;00 - 01;119.83
29-01-2016;01 - 02;116.47
29-01-2016;02 - 03;114.53
29-01-2016;03 - 04;115.65
29-01-2016;04 - 05;116.55
29-01-2016;05 - 06;121.7
29-01-2016;06 - 07;126.7
29-01-2016;07 - 08;130.73
29-01-2016;08 - 09;132.74
29-01-2016;09 - 10;131.7
29-01-2016;10 - 11;130.58
29-01-2016;11 - 12;129.08
29-01-2016;12 - 13;127.14
29-01-2016;13 - 14;124.76
29-01-2016;14 - 15;123.19
29-01-2016;15 - 16;120.88
29-01-2016;16 - 17;122.07
29-01-2016;17 - 18;124.91
29-01-2016;18 - 19;124.01
29-01-2016;19 - 20;120.43
29-01-2016;20 - 21;114.91
29-01-2016;21 - 22;113.41
29-01-2016;22 - 23;108.94
29-01-2016;23 - 00;76.78
30-01-2016;00 - 01;105.07
30-01-2016;01 - 02;65.82
30-01-2016;02 - 03;36.56
30-01-2016;03 - 04;35
30-01-2016;04 - 05;36.71
30-01-2016;05 - 06;77.9
30-01-2016;06 - 07;101.71
30-01-2016;07 - 08;100.89
30-01-2016;08 - 09;106.63
30-01-2016;09 - 10;110.74
30-01-2016;10 - 11;113.35
30-01-2016;11 - 12;114.54
30-01-2016;12 - 13;113.5
30-01-2016;13 - 14;112.16
30-01-2016;14 - 15;112.08
30-01-2016;15 - 16;114.69
30-01-2016;16 - 17;123.2
30-01-2016;17 - 18;135.81
30-01-2016;18 - 19;131.11
30-01-2016;19 - 20;128.27
30-01-2016;20 - 21;125.29
30-01-2016;21 - 22;120.96
30-01-2016;22 - 23;115.59
30-01-2016;23 - 00;110.29
31-01-2016;00 - 01;115.36
31-01-2016;01 - 02;22.68
31-01-2016;02 - 03;37.98
31-01-2016;03 - 04;6.34
31-01-2016;04 - 05;-2.01
31-01-2016;05 - 06;15.82
31-01-2016;06 - 07;117.38
31-01-2016;07 - 08;117.6
31-01-2016;08 - 09;117.38
31-01-2016;09 - 10;119.54
31-01-2016;10 - 11;121.26
31-01-2016;11 - 12;122.75
31-01-2016;12 - 13;122.53
31-01-2016;13 - 14;121.41
31-01-2016;14 - 15;120.66
31-01-2016;15 - 16;122.45
31-01-2016;16 - 17;128.57
31-01-2016;17 - 18;151.48
31-01-2016;18 - 19;137.82
31-01-2016;19 - 20;136.93
31-01-2016;20 - 21;134.54
31-01-2016;21 - 22;131.41
31-01-2016;22 - 23;130.44
31-01-2016;23 - 00;122.75
01-02-2016;00 - 01;121.71
01-02-2016;01 - 02;115.14
01-02-2016;02 - 03;116.18
01-02-2016;03 - 04;117.45
01-02-2016;04 - 05;121.48
01-02-2016;05 - 06;130.44
01-02-2016;06 - 07;154.54
01-02-2016;07 - 08;196.25
01-02-2016;08 - 09;261.92
01-02-2016;09 - 10;158.49
01-02-2016;10 - 11;147.08
01-02-2016;11 - 12;141.03
01-02-2016;12 - 13;138.72
01-02-2016;13 - 14;137.23
01-02-2016;14 - 15;135.58
01-02-2016;15 - 16;134.09
01-02-2016;16 - 17;134.99
01-02-2016;17 - 18;137.6
01-02-2016;18 - 19;135.21
01-02-2016;19 - 20;132.6
01-02-2016;20 - 21;129.47
01-02-2016;21 - 22;123.27
01-02-2016;22 - 23;119.47
01-02-2016;23 - 00;114.54
02-02-2016;00 - 01;30.3
02-02-2016;01 - 02;2.24
02-02-2016;02 - 03;-0.15
02-02-2016;03 - 04;16.04
02-02-2016;04 - 05;108.27
02-02-2016;05 - 06;115.36
02-02-2016;06 - 07;123.42
02-02-2016;07 - 08;135.21
02-02-2016;08 - 09;136.78
02-02-2016;09 - 10;135.66
02-02-2016;10 - 11;134.99
02-02-2016;11 - 12;134.24
02-02-2016;12 - 13;132.97
02-02-2016;13 - 14;133.2
02-02-2016;14 - 15;132.75
02-02-2016;15 - 16;133.57
02-02-2016;16 - 17;136.26
02-02-2016;17 - 18;138.87
02-02-2016;18 - 19;137.82
02-02-2016;19 - 20;133.79
02-02-2016;20 - 21;130.81
02-02-2016;21 - 22;126.48
02-02-2016;22 - 23;111.48
02-02-2016;23 - 00;71.11
03-02-2016;00 - 01;102.61
03-02-2016;01 - 02;86.42
03-02-2016;02 - 03;60.37
03-02-2016;03 - 04;51.72
03-02-2016;04 - 05;67.46
03-02-2016;05 - 06;122.61
03-02-2016;06 - 07;130
03-02-2016;07 - 08;140.07
03-02-2016;08 - 09;144.03
03-02-2016;09 - 10;143.21
03-02-2016;10 - 11;142.31
03-02-2016;11 - 12;141.12
03-02-2016;12 - 13;139.1
03-02-2016;13 - 14;138.8
03-02-2016;14 - 15;138.21
03-02-2016;15 - 16;137.01
03-02-2016;16 - 17;138.73
03-02-2016;17 - 18;141.94
03-02-2016;18 - 19;140.67
03-02-2016;19 - 20;137.76
03-02-2016;20 - 21;134.33
03-02-2016;21 - 22;130.67
03-02-2016;22 - 23;127.46
03-02-2016;23 - 00;123.95
04-02-2016;00 - 01;125.06
