DayTraining;Day;Step;discEV;TransformerLoad;agentsCharging;meanBatttery;atHome;reward1;reward2;reward3;energyCosts;
65;2;40;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;41;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;42;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;43;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;44;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;45;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;46;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;47;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;48;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;49;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;50;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;51;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;52;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;53;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;54;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;55;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;56;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;57;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;58;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;59;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;60;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;61;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;62;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;63;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;64;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;65;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;66;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;67;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;68;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;69;0;0.0;0;15182.187280845772;0;0.0;0.0;0.0;0.0;
65;2;70;0;2300.0;1;15182.187280845772;1;30.0;3.16205533596838;50.0;0.55;
65;2;71;0;2300.0;1;15201.353947512438;1;30.0;3.16205533596838;50.0;0.55;
65;2;72;0;2300.0;1;15220.520614179106;1;30.0;3.16205533596838;50.0;0.55;
65;2;73;0;18400.0;8;15239.687280845772;8;190.0;2.120890774125133;50.0;6.5600000000000005;
65;2;74;0;34500.0;15;15393.020614179106;15;380.0;2.120890774125133;50.0;12.300000000000002;
65;2;75;0;46000.0;20;15680.520614179106;27;680.0;2.510375345299346;12.962962962962964;16.400000000000002;
65;2;76;0;39100.0;17;16063.853947512438;30;790.0;2.771886414516318;50.0;13.940000000000003;
65;2;77;0;34500.0;15;16389.687280845774;30;820.0;2.872039589961116;50.0;12.300000000000002;
65;2;78;0;29900.0;13;16677.187280845774;30;830.0;2.9721927654059135;50.0;10.660000000000002;
65;2;79;0;29900.0;13;16926.353947512438;30;830.0;2.9721927654059135;50.0;10.660000000000002;
65;2;80;0;29900.0;13;17175.520614179106;30;830.0;2.9721927654059135;50.0;10.660000000000002;
65;2;81;0;13800.0;6;17424.687280845774;30;830.0;3.3227288794627055;50.0;4.92;
65;2;82;0;2300.0;1;17539.687280845774;30;830.0;3.5731118180746995;50.0;0.82;
65;2;83;0;2300.0;1;17558.85394751244;30;830.0;3.5731118180746995;50.0;0.82;
65;2;84;0;2300.0;1;17578.020614179106;30;840.0;3.5731118180746995;50.0;0.82;
65;2;85;0;2300.0;1;17594.652361947214;30;850.0;3.5731118180746995;50.0;0.82;
65;2;86;0;0.0;0;17598.055987468866;30;850.0;3.6231884057970984;50.0;0.0;
65;2;87;0;0.0;0;17598.055987468866;30;850.0;3.6231884057970984;50.0;0.0;
65;2;88;0;0.0;0;17598.055987468866;30;850.0;3.6231884057970984;50.0;0.0;
65;2;89;0;2300.0;1;17598.055987468866;30;850.0;3.6078173034694743;50.0;0.55;
65;2;90;0;2300.0;1;17617.222654135534;30;850.0;3.6078173034694743;50.0;0.55;
65;2;91;0;2300.0;1;17636.3893208022;30;850.0;3.6078173034694743;50.0;0.55;
65;2;92;0;2300.0;1;17655.555987468866;30;850.0;3.6078173034694743;50.0;0.55;
65;2;93;0;11500.0;5;17674.722654135534;30;860.0;4.054520358868182;50.0;1.4000000000000001;
65;2;94;0;13800.0;6;17770.555987468866;30;860.0;4.140786749482399;50.0;1.6800000000000002;
65;2;95;0;13800.0;6;17885.555987468866;30;870.0;4.140786749482399;50.0;1.6800000000000002;
65;2;96;0;6900.0;3;17990.975905815456;30;880.0;3.8819875776397486;50.0;0.8400000000000001;
65;3;1;0;18400.0;8;18031.527818159866;30;890.0;4.313319530710832;50.0;2.24;
65;3;2;0;16100.0;7;18171.931344712317;30;900.0;4.227053140096616;50.0;1.9600000000000002;
65;3;3;0;11500.0;5;18304.117577290464;30;920.0;4.054520358868182;50.0;1.4000000000000001;
65;3;4;0;9200.0;4;18398.931478106595;30;920.0;3.9682539682539653;50.0;1.12;
65;3;5;0;9200.0;4;18475.598144773263;30;930.0;3.9682539682539653;50.0;1.12;
65;3;6;0;9200.0;4;18549.170881461763;30;960.0;3.9682539682539657;50.0;1.12;
65;3;7;0;4600.0;2;18604.936741875874;30;970.0;3.795721187025532;50.0;0.56;
65;3;8;0;2300.0;1;18632.896676581044;30;970.0;3.709454796411315;50.0;0.28;
65;3;9;0;11500.0;5;18652.063343247708;30;980.0;4.054520358868182;50.0;1.4000000000000001;
